"Sans Nom";"";"";"1";"1";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"1";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"L' UNIFORME DES SOLDATS DE LA GUERRE EN DENTELLES";"";"FUNCKEN   L. et  F. ";"1";"1";"acheté neuf env 100 fr année 80";"150";"1976    ";"TOURNAI /  CASTERMAN";"";"155";"20.5 X 25 ";"CARTONNE / NEUF / T BON ETAT";"BUR C 3";"";"";"";"UNIFORMOLOGIE";"";"";"";"";"";"";"";"";"1985    ";"100";"PARIS   ";"";"";"";"";"";"";"";"";"";"ICONOGRAPHIE ++++";"";"";"";"GUIDE SUR LES UNIFORMES DES SOLDATS DU 18° SIECLE .

APPARTIENT A LA SERIE  FUNCKEN :  VOIR COMMENTAIRES SUR CETTE SERIE A LA FICHE
  :coma: LE COSTUME AU TEMPS DE LA CHEVALERIE  :coma:

CET OUVRAGE EST EN 2 TOMES  , je ne possède malheureusement que le Tome 2  .  Il ne couvre pour la France , que la cavalerie et l'artillerie  ( ainsi que pour la Grande Bretagne et la Prusse ) . 
Autres pays :  infanterie , cavalerie et e artillerie ";"";"";"";"";"";"";"";"";"";""
"LE COSTUME AU TEMPS DE LA CHEVALERIE  ";"LE COSTUME, L' ARMURE ET LES ARMES AU TEMPS ....";"FUNCKEN   L. et  F. ";"1";"1";"acheté neuf env 80 fr vers 1980";"150";"1977    ";"TOURNAI /  CASTERMAN";"";"156";"20.5 X 25";"CARTONNE / NEUF / T BON ETAT";"BUR C 3";"";"";"";"UNIFORMOLOGIE";"COSTUMES / ARMES / ARMURES /";"BLASONS / EQUIPEMENTS /";"ARMES DE SIEGE /  MOYEN -AGE";"";"";"";"";"";"1980    ";"100";"PARIS ";"";"";"";"";"";"";"";"";"";"ICONOGRAPHIE ++++";"";"";"";"GUIDE SUR LES UNIFORMES ET LES MATERIELS DES SOLDATS DU 8°  AU  15°  SIECLE . 

PAR CES DEUX AUTERUS QUI ONT ACQUIS UNE CERTAINE NOTORIETE DANS CE DOMAINE 

VOIR LES COMMENTAIRES QUE JE FAIS EN GENERAL  AU TITRE :coma: COSTUME DES SOLDATS DU 1ER EMPIRE :coma:   EN SERIE HMRE . 

TOUTEFOIS ,SI DANS LE CAS DU IER EMPIRE, L' OUVRAGE DES FUNCKEN PASSE POUR UN LIVRE DE SEMI- VULGARISATION , COMPTE TENU DE L' ABONDANCE D' OUVRAGES BEAUCOUP PLUS TECHNIQUES SUR LE SUJET , DANS LE CAS PARTICULIER DU MOYEN AGE PAR CONTRE ,  VU
L INEXISTENCE  QUASI TOTALE DE DOCUMENTS  , 

CE LIVRE DEVIENT PARTICULIERMENT PRECIEUX  . ";"";"";"";"";"";"";"";"";"";""
"LES ALSACIENS DANS LES CORPS D'ELITE ";"";"GANIER  Henry";"1";"1";"";"";"";"";"";"0";"";"";"F 8";"";"";"SECOND EMPIRE ";"ETUDE THEMATIQUE ";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"VOIR FICHE A CE TITRE EN SERIE HMRE 

L OUVRAGE COUVRE LES DEUX EMPIRES ";"";"";"";"";"";"";"";"";"";""
"CEUX DE 14 ";"";"GENEVOIX  Maurice ";"1";"1";"acheté à un bouqu verzs 2005 , env 30 fr";"";"1998    ";"PARIS / FRANCE LOISIRS";"";"1086";"14 X 21";"RELIE / T BON ETAT";"C 5";"";"";"GUERRE  14 - 18";"SOUVENIRS";"VERDUN / LES EPARGES / ";"";"";"";"";"";"";"";"2005    ";"40";"BROCANTE ";"";"";"";"";"";"";"";"";"";"";"";"";"";"ENIEME REEDITION DU CELEBRE OUVRAGE DE CE NON MOINS CELEBRE ECRIVAIN , CHANTRE DE LA GUERRE DE 14 , DE L ' ACADEMIE FRANCAISE . 

EXCELLENT 

SANS ILLUSTR  NI CARTE ";"";"";"";"";"";"";"";"";"";""
"CEUX DE 14 ";"";"GENEVOIX  Maurice ";"2";"1";"AC.neuf  65 fr en 2005  Bibl Musée de l'Armée";"";"2005    ";"PARIS/ FLAMMARION";"";"782";"11 X 18";"BROCHE / NEUF / EXCELLENT";"C 1";"";"";"";"";"";"";"";"";"";"";"";"";"2005    ";"40";"BIBL MUSEE DE L'ARMEE";"";"";"";"";"";"";"";"";"";"";"";"";"";"DOUBLE DE L EXEMPLAIRE RELIE QUE J AI DEJA . VOIR FIC HE AU MEME TITRE , numero de volume 1 . 

CE LIVRE A ETE REEDITE EN FORMAT POCHE POUR FACILITER SON EMPLOI . ";"";"";"";"";"";"";"";"";"";""
"LES ETAPES D' UN CHASSEUR A PIED ";"";"GERAUD  Léon ";"1";"1";"acheté ENCH7RES vente HENRI MAIRE DANS 1 CARTON";"";"1872    ";"PARIS / Libr. HENRI ANIERE ";"";"276";"12 X  18";"RELIE / BON ETAT";"D 1";"";"";"GUERRE  1870";"SOUVENIRS ";"ARMEE DE LA LOIRE /  BATAILLE DE COULMIERS";"";"";"";"";"";"";"";"1998    ";"100";"VENTE ENCH. HENRI MAIRE ";"";"";"";"";"";"";"";"";"";"";"";"";"";"TRES INTERESSANT OUVRAGE 

( Livre faisant partie de l'ancienne bibliothèque du Ct GRAND . Acheté en vente aux enchères à Dôle lors de la vente de la Bibl. HENRI MAIRE , à qui le fameux CT  avait légué la sienne . 

L 'AUTEUR  , SOLDAT DE QUEQLEUS ANNEES AVANT 1870  ,  EST RAPPELE COMME RESERVISTE EN SEPTEMBRE OU OCT.  1870  APRES LES GRANDES DEFAITES DE L ' EST . 
SON UNITE EST FORMEE A DOUAI  PUIS ENVOYEE  A TOURS  POUR FORMER L  ARMEE DE  L OUEST . 

LA MAJORITE DU LIVRE EST CONSACREE A DECRIRE LA VIE DE CETTE TROUPE ? SON MORAL  SON ETAT D ESPRIT .  L' AUTEUR  EST ANTI BONAPARTISTE  MAIS AUSSI VIOLEMMENT CONTTRE  LES REVOLUTIONNAIRES ET LA COMMUNE  . C EST UN REPUBLICAIN . 
IL DECRIT AUSSI LE COMPORTEMENT DES POPULATIONS  ET DES GENS EN PARTICULIER   CERTAINS MEPRISABLES  CERTAINS ADMIRABLES . 

FINALEMENT  IL  PARTICIPE A UNE SEULE AFFAIRE   LA BATAILLE DE  COULMIERS  .  IL DECRIT CE QU IL EN VOIT ET FAIT VIVRE JUSTEMENT PARFAITEMENT CE QUE SONT CES OPERATIONS VUES DEPUIS UN SOUS OFFICIER D INFANTERIE .  TRES TRES INTERESSANT .      ";"";"";"";"";"";"";"";"";"";""
"LE DESASTRE DE PAVIE ";"24 FEVRIER 1525";"GIONO Jean ";"1";"1";"";"";"";"";"TRENTE JOURNEES QUI ONT FAIT LA FRANCE";"0";"";"";"K 2";"";"";"";"";"BATAILLE DE PAVIE / FRANCOIS IER ";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"VOIR FICHE A CE TITRE EN SERIE  HG ";"";"";"";"";"";"";"";"";"";""
"1870  LES SOLDATS ET LEURS BATAILLES ";"";"GIOVANANGELI Bernard ";"1";"1";"acheté neuf environ 270 fr en 2006";"";"2006    ";"MINISTERE DE LA DEFENSE / B. GIOVANANGELI";"";"160";"25.5 X 29";"RELIE CARTONNE / NEUF / EXCELLENT";"F 8";"";"";"GUERRE FRANCO-ALLEMANDE : 1870 - 1871";"OPERATIONS";"";"";"";"";"";"";"";"";"2006    ";"200";"PARIS / BIBL MUSEE DE L ARMEE";"";"";"";"";"";"";"";"";"";"ICONGRAPHIE  ++++";"";"BIBLIO +++ ";"";"EXCZELLENT ET MAGNIFIQUE BOUQUIN MODERNE  QUI RETRACE L HISTOIRE DE LA GUERRE DE 1870 A TRAVERS LES PEINTURES . 
CHAQUE BATAILLE ET ACTION EST EXPLIQUEE PAR UN TEXTE  ASSEZ RESUME ET ILLUSTRE PAR UNE OU PLUSIERUS DES PLUS BELLES TOILES QUI EXISTENT SUR LE SUJET . 

LIVRE ABSOLUMENT REMARQUABLE . ";"";"";"";"";"";"";"";"";"";""
"SUR LE FRONT OCCIDENTAL AVEC LA 53° D I ";"AOUT 1914 A MAI 1915";"GIRARD  Commandant  -   ";"1";"1";"acheté 65 fr chez un bouqu   années 80";"";"1932    ";"PARIS / BERGER - LEVRAULT";"";"216";"14.5 X 23";"BROCHE / ETAT CORRECTI";"C 4";"";"";"GUERRE  1914 - 1918 ";"OPERATIONS";"BATAILLE DES FRONTIERES ";"BATAILLE DE GUISE / ";"BATAILLE DE LA MARNE 1914";"SECTEUR DE SUZANNE ";"";"";"";"";"1985    ";"80";"BOUQU .  (  LOns  ?   )  ";"";"";"";"";"";"";"";"";"";"";"CARTES +++";"";"";"RELATION DES OPERATIONS DE LA 53° DIVISION  D INFANTERIE LA PREMIERE ANNEE DE LA 
GUERRE  14 / 18

Auteur non précisé ( semble être Girard d'après un envoi  dédicacé au Dr JEAN-MICHEL  de LOns . 

BATAILLE DES FRONTIERES / BAT. DE GUISE  /  LA MARNE /  SECTEUR DE SUZANNE 

2 grandes cartes pliées à la fin du bouquin  . 


ENVOI DEDICACE DE L AUTEUR  , LE COMMANDANT GIRARD ,  AU DR JEAN MICHEL DE LONS LE SAUNIER  ";"";"";"";"";"";"";"";"";"";""
"LA SOCIETE MILITAIRE DE 1815 A NOS JOURS";"";"GIRARDET RAOUL ";"1";"1";"acheté neuf 150 fr en 1998";"";"1998    ";"PARIS / PERRIN";"";"341";"15.5 X 24";"BROCHE / NEUF / EXCELLENT";"D 2";"";"";"19° et 20° siecles";"ETUDE GENERALE";"";"";"";"";"";"";"";"";"1998    ";"100";"LIBRAIRIE  ( Paris ou Lons ) ";"";"";"";"";"";"";"";"";"";"";"";"BIBLIOGRAPHIE   :       ++++";"IINDEX  ++++";"ETUDE SUR LA SOCIETE MILITAIRE  ,  ORIGINE SOCIALE DES OFFICIERS , LEUR IMPORTANCE DANS LA NATION , LE 
SENTIMENT MILITAIRE DANS LE PAYS   ETC ET C...   selon les epoques  de 1815 à nos jours  . 

ETUDE GENERALE DIGNE D' INTERET 

SANS ILLUSTR .  /  BIBLIOGRAPHIE ASSEZ COMPLETE / INDEX DES NOMS  ";"";"";"";"";"";"";"";"";"";""
"SEDAN  MAI 40";"";"GOUNELLE  Claude";"1";"1";"acheté neuf environ 100 fr en 1980";"";"1980    ";"PARIS / PRESSES DE LA CITE";"";"283";"16 X 24";"BROCHE / T BON ETAT";"K 3";"";"";"SECONDE GUERRE MONDIALE ";"OPERATIONS";"SEDAN / MAI 40 / CAMPAGNE DE FRANCE";"";"";"";"";"";"";"";"1980    ";"100";"LIBRAIRIE  ( Paris ou Lons ) ";"";"";"";"";"";"";"";"";"";"ICONOGRAPHIE ++";"CARTES ++";"BIBLIOGRAPHIE +++";"";"TRES INTERESSANT OUVRAGE  SUR LES DEUX OU TROIS FATALES DE JOURNEES DE SEDAN
EN MAI 40  OU S' EST JOUE LE SORT DE LA CAMPAGNE DE FRANCE .

OUVRAGE TRES PRECIS   REPRODUISANT EGALEMENT DE NOMBREUX TEMOIGNAGES D ACTEURS DE CETTE BATAILLE , SOLDATS ET OFFICIERS

UN PETIT CAHIER D' ILLUSTR N ET BLANC EN MILIEU D' OUVRAGE

PLUSIEURS CARTES  SCHEMATIQUES  /  BIBLIOGRAPHIE ASSEZ COMPLETE    ";"";"";"";"";"";"";"";"";"";""
"LA JEUNESSE DU GRAND CONDE ";"";"GOURDAULT  Jules ";"1";"1";"acheté 3 Euros sur une brocante en 2008j";"";"1878    ";"TOURS / ED. MAME";"";"342";"18 X 27";"RELIE / ETAT  MOYEN";"Z 4";"";"";"ANCIEN REGIME ";"BIOGRAPHIE /  OPERATIONS";"ROCROI / SIEGE DE THIONVILLE /  FRIBOURG ";"SIEGE DE PHILIPPSBOURG /  NORDLINGEN ";"SIEGE DE DUNKERQUE  /  BATAILLE DE LERIDA ";"BATAILLE DE LENS /  LA FRONDE   ";"";"";"";"";"2008    ";"50";"BROCANTE ";"";"";"";"";"";"";"";"";"";"";"";"";"";"CE BOUQUIN N EST PAS SEULEMENT UNE BIOGRAPHIE DU GRAND CONDE  MAIS CEST UNE BIOGRAPHIE MILITAIRE 

IL RELATE TOTUES LES GRANDES CAMPAGNES ET BATAILLES AUXQUELLES LE GRAND CONDE A PARTICIPE 

PAS DE CARTE / 1 OU 2 GRAVURES N ET BLANC ";"";"";"";"";"";"";"";"";"";""
"FOCH  CHEF DE GUERRE ";"";"GREENHALGH   Elisabeth ";"1";"1";"offert en cadeau noel 2013 par ML ";"";"2013    ";"PARIS / TALLANDIER";"";"682";"16.5 X 23.5";"BROCHE  / NEUF / EXCELLENT";"C 3";"";"";"GUERRE  1914  - 1918";"BIOGRAPHIE /  OPERATIONS";"PREMIERE GUERRE MONDIALE ";"";"";"";"";"";"";"";"2013    ";"200";"CADEAU  NOEL ";"";"";"";"";"";"";"";"";"";"";"CARTE    +";"BIBLIOGRAPHIE   :       ++++";"IINDEX  ++++";"BIOGRAPHIE MILITAIRE DU MARECHAL FOCH . 
FORT DETAILLEE ET FORT PRECISE . JE FAIS CONFIANCE A L4AUTEUR ANGLAIS 

SANS ILLUSTR  /  QQ CARTES N ET BLANC /
BILIOB HYPER COMPLETE ";"";"";"";"";"";"";"";"";"";""
"LES ARMEES DU NORD ET DE NORMANDIE";"CAMPAGNE DE 1870 - 1871";"GRENEST  N -- ";"1";"1";"acheté 250 fr chez un bouqu  années 80";"400";"1897    ";"PARIS / GARNIER FRERES ED.";"";"552";"15 X 22";"RELIE / T BON ETAT";"D 2";"";"";"GUERRE FRANCO-ALLEMANDE : 1870 - 1871";"OPERATIONS / ANECDOTES";"ARMEE DU NORD / ARMEE DE NORMANDIE /";"HECOURT/ VILLEGATS/ FORMERIE / LE THIL / VERNON";"VILLERS-BRETONNEUX / GUITRY/ HEBECOURT";"FAIDHERBE / HAM / PONT-NOYELLES / ";"ABBEVILLE / BAPAUME / VERMAND / ";"SAINT-QUENTIN ";"";"";"1985    ";"300";"BOUQUINISTE  NANCY";"";"";"";"";"";"";"";"";"";"";"CARTES  ++";"";"INDEX ++++";"CE LIVRE RELATE LES OPERATIONS DES ARMEES DU NORD ET DE NORMANDIE  ( donc après la défaite des armées 
:coma: officielles :coma: , et pendant el siège de Paris ) 

BEAUCOUP DE SOUVENIRS ET D'ANECDOTES  .    TRES INTERESSANT 

SANS ILLUSTR.   /  QQ CARTES  /  INDEX DES NOMS ";"";"";"";"";"";"";"";"";"";""
"PAROLES DE POILUS ";"";"GUENO  Jean pierre";"1";"1";"acheté 15 fr en 2004  neuf";"";"2003    ";"PARIS / LIBRIO";"";"190";"13 X 21";"BROCHE/ EXCELLENT";"C 1 ";"";"";"GUERRE  1914 - 1918";"MEMOIRES  / TEMOIGNAGES";"LETTRES DU FRONT / POILUS / ";"TRANCHEES / ";"";"";"";"";"";"";"2004    ";"10";"PARIS / LIBR. MUSEE ARMEE";"";"";"";"";"";"";"";"";"";"";"";"";"";"RECUEIL DE LETTRES ENVOYEES PAR LES COMBATTANTS DE 1914 - 18  DEPUIS LE FRONT .

TRES INTERESSANT ET TRES EMOUVANT . ";"";"";"";"";"";"";"";"";"";""
"ECRITS MILITAIRES DE GUIBERT";"";"GUIBERT   Comte Jacques de ---";"1";"1";"acheté neuf environ 60 fr en 2000";"";"1977    ";"ED. NATION ARMEE";"";"306";"15 X 22";"BROCHE / NEUF / EXCELLENTI";"B 1";"";"";"ANCIEN REGIME ";"ETUDE";"ETUDE / TACTIQUE / STRATEGIE /";"PENSEURS MILITAIRES ";"";"";"";"";"";"";"2000    ";"50";"PARIS / LCV";"";"";"";"";"";"";"";"";"";"";"";"BIBLIOGRAPHIE +++";"";"REEDITION DE CE CELEBRE  OUVRAGE  DE CE GRAND PENSEUR MILITAIRE  

ON DIT QUE CE FUT L' UNE DES SOURCES MAJEURES DE BONAPARTE DANS L'ELABORATION DE SA PENSEE
TACTIQUE ET STRATEGIQUE . 

SANS ILLUSTR. NI CARTE 
BIBLIO  SERIEUSE ";"";"";"";"";"";"";"";"";"";""
"LES AVIONS DE CHASSE 1939 / 1945";"";"GUNSTON  Bill";"1";"1";"acheté vil prix sur brocante ";"";"1980    ";"LONDON / SALAMANDER BOOKS ";"";"160";"12.5 X 22";"CARTONNE / T BON ETAT";"C 1";"";"";"SECONDE GUERRE MONDIALE ";"MATERIEL MILITAIRE ";"AVIONS DE CHASSE  SECONDE GUERRE MONDIALE";"";"";"";"";"";"";"";"2005    ";"10";"?";"";"";"";"";"";"";"";"";"";"ICONGRAPHIE  ++++";"";"";"";"PETIT BOUQUIN FORMAT CARNET   EDITE PAR BORDAS  EN FRANCE 

RELIURE CARTONNEE . TREX BON ETAT . 

TRES INT.  TOUS LES CHASSEURS DE LA GUERRE 
BOURRE D ILLUSTR. COULEUR ET N ET BLANC   +  PLANS ";"";"";"";"";"";"";"";"";"";""
"VIE MILITAIRE EN PRUSSE ";"";"HACKLAND ";"1";"2";"acheté environ  50 fr sur une brocante en 2008";"";"1900    ";"COULOMMIERS / MOUSSIN";"";"400";"11.5 X 18";"RELIE / MEDIOCRE ";"D 5 bis";"";"";"";"ETUDE / VIE QUOTIDIENNE";"";"";"";"";"";"";"";"";"2008    ";"60";"BROCANTE ";"";"";"";"";"";"";"";"";"";"";"";"";"";"CES DEUX PETIS BOUQUINS FONT PARTIE D' UN OUVRAGE EN 3 TOMES DONT JE N' AI QUE LES TOMES 2 ET 3

CE N' EST PAS TRES GRAVE CAR IL S 'AGIT D UNE SORTE DE RECIT PLUS QUE D' UNE ETUDE HISTORIQUE TRES SERIEUSE  DECRIVANT LA VIE MILITAIRE EN PRUSSE VERS LA FIN DU 19° SIECLE JE SUPPOSE . 

C' EST UN BOUQUIN QUI SEMBLE DATER DE LA PERIODE :coma: DE REVANCHE  :coma: FRANCAISE (  1871 -  1914)";"";"";"";"";"";"";"";"";"";""
"L'INVASION 1870 - 1871";"RECITS DE GUERRE";"HALEVY  Ludovic";"1";"1";"acheté 220 fr chez un bouqu  années 80 ";"1000";"1890    ";"PARIS / BOUSSOD VALADON";"";"246";"29 X 36";"RELIE CARTONNE/ BON ETAT ";"E 1";"";"";"GUERRE FRANCO-ALLEMANDE : 1870 - 1871";"ANECDOTES / SCENES VECUES ";"FROESCHWILLER / SEDAN / GRAVELOTTE /";"SAINT-PRIVAT / VILLERSEXEL / TOURS / ETRETAT ";"";"";"";"";"";"";"1985    ";"1500";"BOUQUINISTE  (  ALLEREY   )";"";"";"";"";"";"";"";"";"";"ICONOGRAPHIE  +++";"";"";"";"TRES BEAU LIVRE SUR LA GUERRE DE 1870 ( JUMEAU DES AVENTURES DU CAPITAINE PARQUIN ,  MEME GD FORMAT  , EDITE PAR BOUSSOD VALADON , MEME RELIURE  )  

CE N'EST PAS UNE HISTOIRE DE LA GUERRE, MAIS UNE SUCCESSION D' EPIDODES OU D' ANECDOTES HEROIQUES 

LE TOUT AVEC DE TRES NOMBREUSES ILLUSTRATIONS , BP EN COULEURS 

LE TOUT TRES BIEN ECRIT PAR L' AUTEUR DE L'  ACADEMIE FRANCAISE 


Les anecdotes sont répaerties en plusieurs grands chapitres  : 

          DE FROESCHWILLER  A SEDAN 
          FORBACH
          GRAVELOTTE  ,  SAINT-PRIVAT 
          VILLERSEXEL 

COTE  :  acheté 220 Fr en 1985 . Ce bouquin fait partie de la même série que les av. du  CT PARQUIN , intitulée :coma: RECITS DE GUERRE :coma: 
malgré quelques faiblesses de la reliure , je pense qu'il valait largement 500 Fr vers 90- 95 ,  1000  vers 2005 et plus de 1500 maintenant (2017 ) soit env. 250 E 
          TOURS 
           ETRETAT  ";"";"";"";"";"";"";"";"";"";""
"L'EUROPE SOUS LES ARMES";"";"HENNEBERT  LT-Col  --";"1";"1";"acheté neuf 60 fr chez un bouqu-  années 80";"";"1884    ";"PARIS / ED. JOUVET";"";"216";"12 X 18";"RELIE / BON ETAT ";"D 1";"";"";"EPOQUE ENTRE GUERRE DE 70 ET GUERRE DE 14";"ETUDE";"SYSTEMES FORTIFIES DE L'EUROPE ";"";"";"";"";"";"";"";"1985    ";"80";"BOUQU.   ALLEREY";"";"";"";"";"";"";"";"";"";"";"CARTES  +++";"";"";"CET OUVRAGE ETUDIE L ETAT DES SYSTEMES DE FORTIFICATIONS DES PRINCIPALES PUISSANCES EUROPEENNES
ENTRE LES GUERRES DE 70 ET DE 14  ";" 

NOMBREUSES CARTES DANS LE TEXTE  DONT BEAUCOUP ASSEZ PRECISES ET INTERESSANTES .";"";"";"";"";"";"";"";"";"";""
"LE CAVALIER MISEREY ";"";"HERMANT  Abel ";"1";"1";"acheté 50 fr chez un bouqu années 80";"";"1887    ";"PARIS / CHARPENTIER ";"";"403";"13 X 18";"RELIE / ETAT CORRECT";"D 1";"";"";"EPOQUE ENTRE GUERRE DE 70 ET GUERRE DE 14";"ROMAN HISTORIQUE";"";"";"";"";"";"";"";"";"1985    ";"50";"BOUQU. ( Allerey ou Nancy ? ) ";"";"";"";"";"";"";"";"";"";"";"";"";"";"Ce livre a pour objet de faire connaitre au lecteur la réalité de la vie militaire dans un régiment de cavalerie  pendant la période entre 
1870 et 1900 

L'auteur précise qu'il s'agit d'un roman , mais que , ayant été lui-même   dans ce même régiment , totu ce qu'il raconte est vrai , si ce n'est qu'il transforme les noms des personnes . 

Cet ouvrage doit donc être assez interessant et réel sur la vie militaire à cette époque  ( je ne l'ai pa s encore lu ) 

NB  CET OUVRAGE , BIEN QUE N'ETANT PAS ANTIMILITARISTE , DEPEINT LA VIE MILITAIRE SOUS SES ASPECTS PLUTOT
SOMBRES . SA SORTIE EN OPLEINE PERIODE DE REMILITARISATION DE LA FRANCE ,  FIT SCANDALE  . 
VOIR A CE SUJET  : :coma: LA SOCIETE MILITAIRE DE 1815 A NOS JOURS :coma:  de Raoul GIRARDET  p. 134  .

SANS ILLUSTR. NI CARTE ";"";"";"";"";"";"";"";"";"";""
"FOCH";"";"HINZELIN  Emile ";"1";"1";"acheté sur une brocante 9 euros en 2008";"";"1918    ";"PARIS / DELAGRAVE";"";"48";"25 X 32.5";"RELIE CARTONNE/ BON ETAT ";"F 6";"";"";"GUERRE  1914 -  1918";"BIOGRAPHIE";"FOCH / GRAND COURONNE  /  LA MARNE /  ";"";"";"";"";"";"";"";"2008    ";"70";"BROCANTE ";"";"";"";"";"";"";"";"";"";"ICONOGRAPHIE  +++";"";"";"";"RESUME DE LA BIOGRAPHIE DE FOCHE  TRES INTERESSANT  .

NOMBREUSES ILLUSTR AU DESSIN  N ET BLANC MAIS FORT BIEN FAITES . ";"";"";"";"";"";"";"";"";"";""
"ATLAS HISTORIQUE DE LA GUERRE";"";"HOLMES  Richard";"1";"1";"acheté neuf 250 fr vers 2000";"";"1989    ";"PARIS / HACHETTE";"";"304";"24 X 30";"RELIE CARTONNE/NEUF/EXC.";"E 1";"";"";"ETUDE GENERALE ";"";"";"";"";"";"";"";"";"";"2000    ";"100";"LIBRAIRIE  ?  ";"";"";"";"";"";"";"";"";"";"ICONOGRAPHIE  ++";"CARTES   +++";"";"";"GRAND OUVRAGE MODERNE  GD FORMAT  GD PUBLIC 

ETUDIE L EVOLUTION DE LA GUERRE DE L ANTIQUITE A NOS JOURS  (  GUERRE D ALGERIE ) 

MAXIMUM DE CARTES   /   BEAUCOUP D ILLUSTR . 

INTERESSANT MAIS EMBRASSE UN TROP VASTE SUJET POUR ETRE TRES DETAILLE SUR CHACUN . 
INTERESSANT POUR REABORDER  LES  GUERRES D UNE EPOQUE QUE L ON A  OUBLIE ";"";"";"";"";"";"";"";"";"";""
"PERDRE UNE BATAILLE  MAI-JUIN 1940";"";"HORNE  Alistair";"1";"1";"acheté neuf 150 fr en 1990";"200";"1990    ";"PARIS / PLON";"";"460";"14 X 22.5";"BROCHE / EXCELLENT ETAT";"K 3";"";"";"SECONDE GUERRE MONDIALE ";"OPERATIONS";"CAMPAGNE DE FRANCE 1940";"";"";"";"";"";"";"";"1990    ";"120";"FNAC ";"";"";"";"";"";"";"";"";"";"";"";"";"";"TRES INTERESSANTE ETUDE SUR LA CAMPAGEN DE FRANCE DE 1940 ,  PAR CET HISTORIEN BRITANNIQUE  QUI S EST ACQUIS UNE CERTAINE CELEBRITE DANS LE MONDE DES 
SPECIALISTES . 

( Il s'agit d'une réedition  moderne , mais intégrale , évidemment ) 

OUVRAGE DE REFERENCE  . 

SANS ILLUSTR. NI CARTE  NI INDEX .";"";"";"";"";"";"";"";"";"";""
"LE COLONEL DE GAULLE ET SES BLINDES ";"MAI 1940";"HUARD  Paul";"1";"1";"acheté neuf environ 100fr vders 1980";"180";"1980    ";"PARIS / PLON";"";"353";"14 X 23";"BROCHE / T BON ETAT";"K 3";"";"";"SECONDE GUERRE MONDIALE ";"OPERATIONS";"DE GAULLE / BLINDES / 4° DIV.CUIRASSEE";"MONTCORNET / LAON / GUDERIAN / ";"";"";"";"";"";"";"1980    ";"100";"LIBRAIRIE  ( Paris ou Lons ) ";"";"";"";"";"";"";"";"";"";"";"CARTES ++";"";"";"HISTOIRE DES COMBATS MENES PAR DE GAULLE AVEC SA DIVISION DE CHARS AUTOUR DE LAON  EN MAI 1940  . 

OUVRAGE DE TRES GRANDE PRECISION  ( l'auteur était alors capitaine au G  Q. Gal )  .

SANS ILLUSGTR .    QUELQUES CARTES ET CROQUIS  . 

OUVRAGE DE REFERENCE SUR CES OPERATIONS ";"";"";"";"";"";"";"";"";"";""
"GUIDE DES MUSEES D' HISTOIRE MILITAIRE";"";"HUMBERT J.M. et  DUMARCHE L.";"1";"1";"acheté neuf 98 fr vers 1983";"150";"1982    ";"PARIS / LAVAUZELLE";"";"500";"12.5 X 21";"BROCHE / NEUF / EXCELLENT";"F 7";"";"";"";"USUEL  ( GUIDES , DICTIONNAIRES , etc...) ";"MUSEES / HISTOIRE MILITAIRE ";"";"";"";"";"";"";"";"1983    ";"100";"PARIS  FNAC";"";"";"";"";"";"";"";"";"";"";"";"";"INDEX NOMS DE LIEUX  ++++";"EXCELLENT GUIDE REALISE PAR L' ANCIEN CONSERVATEUR DU MUSEE DE L' ARMEE
ET SON DOCUMENTALISTE ( je les ai bien connus tous deux , voir photo-souvenir 4ème de couverture )

COUVRE TOUTES LES PERIODES DE L HISTOIRE MILITAIRE DE LA FRANCE .  

NOTICES SUR 400 MUSEES . 

SANS ILLUSTR. NI CARTE";"";"";"";"";"";"";"";"";"";""
